name,src,dst
11th Ave,1,2
11th Ave,2,3
11th Ave,3,4
11th Ave,4,5
11th Ave,5,6
11th Ave,6,7
11th Ave,7,8
11th Ave,8,9
11th Ave,9,10
11th Ave,10,11
11th Ave,11,12
11th Ave,12,13
11th Ave,13,14
11th Ave,14,15
11th Ave,15,16
11th Ave,16,17
11th Ave,17,18
11th Ave,18,19
11th Ave,19,20
11th Ave,20,21
10th Ave,21,22
10th Ave,22,23
10th Ave,23,24
10th Ave,24,25
10th Ave,25,26
10th Ave,26,27
10th Ave,27,28
10th Ave,28,29
10th Ave,29,30
10th Ave,30,31
10th Ave,31,32
10th Ave,32,33
10th Ave,33,34
10th Ave,34,35
10th Ave,35,36
10th Ave,36,37
10th Ave,37,38
10th Ave,38,39
10th Ave,39,40
10th Ave,40,41
9th Ave,41,42
9th Ave,42,43
9th Ave,43,44
9th Ave,44,45
9th Ave,45,46
9th Ave,46,47
9th Ave,47,48
9th Ave,48,49
9th Ave,49,50
9th Ave,50,51
9th Ave,51,52
9th Ave,52,53
9th Ave,53,54
9th Ave,54,55
9th Ave,55,56
9th Ave,56,57
9th Ave,57,58
9th Ave,58,59
9th Ave,59,60
9th Ave,60,61
8th Ave,61,62
8th Ave,62,63
8th Ave,63,64
8th Ave,64,65
8th Ave,65,66
8th Ave,66,67
8th Ave,67,68
8th Ave,68,69
8th Ave,69,70
8th Ave,70,71
8th Ave,71,72
8th Ave,72,73
8th Ave,73,74
8th Ave,74,75
8th Ave,75,76
8th Ave,76,77
8th Ave,77,78
8th Ave,78,79
8th Ave,79,80
8th Ave,80,81
7th Ave,81,82
7th Ave,82,83
7th Ave,83,84
7th Ave,84,85
7th Ave,85,86
7th Ave,86,87
7th Ave,87,88
7th Ave,88,89
7th Ave,89,90
7th Ave,90,91
7th Ave,91,92
7th Ave,92,93
7th Ave,93,94
7th Ave,94,95
7th Ave,95,96
7th Ave,96,97
7th Ave,97,98
7th Ave,98,99
7th Ave,99,100
7th Ave,100,101
W 23 St,20,0
W 24 St,21,1
W 25 St,22,2
W 26 St,23,3
W 27 St,24,4
W 28 St,25,5
W 29 St,26,6
W 30 St,27,7
W 31 St,28,8
W 32 St,29,9
W 33 St,30,10
W 34 St,31,11
W 35 St,32,12
W 36 St,33,13
W 37 St,34,14
W 38 St,35,15
W 39 St,36,16
W 40 St,37,17
W 41 St,38,18
W 42 St,39,19
W 23 St,40,20
W 24 St,41,21
W 25 St,42,22
W 26 St,43,23
W 27 St,44,24
W 28 St,45,25
W 29 St,46,26
W 30 St,47,27
W 31 St,48,28
W 32 St,49,29
W 33 St,50,30
W 34 St,51,31
W 35 St,52,32
W 36 St,53,33
W 37 St,54,34
W 38 St,55,35
W 39 St,56,36
W 40 St,57,37
W 41 St,58,38
W 42 St,59,39
W 23 St,60,40
W 24 St,61,41
W 25 St,62,42
W 26 St,63,43
W 27 St,64,44
W 28 St,65,45
W 29 St,66,46
W 30 St,67,47
W 31 St,68,48
W 32 St,69,49
W 33 St,70,50
W 34 St,71,51
W 35 St,72,52
W 36 St,73,53
W 37 St,74,54
W 38 St,75,55
W 39 St,76,56
W 40 St,77,57
W 41 St,78,58
W 42 St,79,59
W 23 St,80,60
W 24 St,81,61
W 25 St,82,62
W 26 St,83,63
W 27 St,84,64
W 28 St,85,65
W 29 St,86,66
W 30 St,87,67
W 31 St,88,68
W 32 St,89,69
W 33 St,90,70
W 34 St,91,71
W 35 St,92,72
W 36 St,93,73
W 37 St,94,74
W 38 St,95,75
W 39 St,96,76
W 40 St,97,77
W 41 St,98,78
W 42 St,99,79
 
