street_name,from_junc,to_junc,avg_speed,num_cars,seg_len
11th Ave,1,2,23,18,0.71
11th Ave,2,1,28,12,0.71
11th Ave,2,3,26,12,0.66
11th Ave,3,2,23,11,0.66
11th Ave,3,4,20,25,0.71
11th Ave,4,3,30,18,0.71
11th Ave,4,5,22,14,0.69
11th Ave,5,4,30,18,0.69
11th Ave,5,6,23,27,0.71
11th Ave,6,5,27,18,0.71
11th Ave,6,7,23,15,0.65
11th Ave,7,6,24,23,0.65
11th Ave,7,8,24,24,0.74
11th Ave,8,7,21,20,0.74
11th Ave,8,9,30,16,0.66
11th Ave,9,8,20,17,0.66
11th Ave,9,10,24,29,0.75
11th Ave,10,9,27,19,0.75
11th Ave,10,11,25,11,0.69
11th Ave,11,10,24,17,0.69
11th Ave,11,12,20,23,0.65
11th Ave,12,11,20,14,0.65
11th Ave,12,13,21,19,0.75
11th Ave,13,12,30,14,0.75
11th Ave,13,14,27,19,0.73
11th Ave,14,13,29,29,0.73
11th Ave,14,15,21,18,0.65
11th Ave,15,14,23,15,0.65
11th Ave,15,16,22,10,0.65
11th Ave,16,15,21,21,0.65
11th Ave,16,17,29,28,0.67
11th Ave,17,16,27,25,0.67
11th Ave,17,18,28,29,0.7
11th Ave,18,17,27,13,0.7
11th Ave,18,19,28,19,0.69
11th Ave,19,18,21,25,0.69
11th Ave,19,20,27,25,0.67
11th Ave,20,19,23,21,0.67
11th Ave,20,21,26,22,0.75
11th Ave,21,20,22,30,0.75
10th Ave,21,22,23,22,0.7
10th Ave,22,21,27,30,0.7
10th Ave,22,23,20,12,0.71
10th Ave,23,22,28,10,0.71
10th Ave,23,24,21,23,0.69
10th Ave,24,23,24,22,0.69
10th Ave,24,25,29,27,0.67
10th Ave,25,24,29,12,0.67
10th Ave,25,26,30,27,0.67
10th Ave,26,25,25,10,0.67
10th Ave,26,27,28,18,0.65
10th Ave,27,26,29,19,0.65
10th Ave,27,28,29,12,0.73
10th Ave,28,27,29,21,0.73
10th Ave,28,29,29,15,0.74
10th Ave,29,28,22,12,0.74
10th Ave,29,30,30,10,0.66
10th Ave,30,29,26,19,0.66
10th Ave,30,31,25,13,0.72
10th Ave,31,30,28,30,0.72
10th Ave,31,32,26,25,0.66
10th Ave,32,31,30,23,0.66
10th Ave,32,33,22,12,0.74
10th Ave,33,32,25,22,0.74
10th Ave,33,34,22,30,0.68
10th Ave,34,33,20,17,0.68
10th Ave,34,35,29,26,0.65
10th Ave,35,34,25,25,0.65
10th Ave,35,36,23,11,0.71
10th Ave,36,35,25,28,0.71
10th Ave,36,37,20,29,0.74
10th Ave,37,36,27,25,0.74
10th Ave,37,38,29,18,0.68
10th Ave,38,37,27,22,0.68
10th Ave,38,39,27,28,0.65
10th Ave,39,38,23,29,0.65
10th Ave,39,40,21,28,0.69
10th Ave,40,39,22,27,0.69
